Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
280	Kyle Korver\korveky01	SF	38	MIL	58	1	16.6	2.2	5.1	0.43	1.7	4.1	0.418	0.5	1	0.482	0.599	0.6	0.7	0.854	0.3	1.8	2.1	1.2	0.4	0.2	0.8	1.3	6.7
281	Rodions Kurucs\kurucro01	PF	21	BRK	47	9	14.6	1.7	3.8	0.446	0.7	1.9	0.367	1	1.9	0.529	0.54	0.5	0.8	0.632	0.5	2.4	2.9	1.1	0.5	0.1	1	1.9	4.6
282	Kyle Kuzma\kuzmaky01	PF	24	LAL	61	9	25	4.8	11	0.436	1.4	4.5	0.316	3.4	6.5	0.518	0.5	1.9	2.5	0.735	0.9	3.6	4.5	1.3	0.5	0.4	1.5	2.1	12.8
283	Skal Labissière\labissk01	C	23	POR	33	1	17.2	2.5	4.5	0.551	0.1	0.4	0.231	2.4	4.1	0.582	0.561	0.8	1	0.758	2	3.2	5.1	1.3	0.2	0.9	0.9	2.7	5.8
284	Jeremy Lamb\lambje01	SG	27	IND	46	42	28.1	4.7	10.4	0.451	1.2	3.4	0.335	3.5	7	0.508	0.506	2	2.4	0.836	0.5	3.8	4.3	2.1	1.2	0.5	1.1	2.3	12.5
285	Romeo Langford\langfro01	SG	20	BOS	32	2	11.6	0.9	2.5	0.35	0.2	0.8	0.185	0.7	1.7	0.434	0.381	0.6	0.8	0.72	0.5	0.8	1.3	0.4	0.3	0.3	0.3	1	2.5
286	Zach LaVine\lavinza01	SG	24	CHI	60	60	34.8	9	20	0.45	3.1	8.1	0.38	5.9	11.9	0.497	0.526	4.5	5.6	0.802	0.7	4.1	4.8	4.2	1.5	0.5	3.4	2.2	25.5
287	Vic Law\lawvi01	PF	24	ORL	8	0	7.8	0.8	2.3	0.333	0.1	0.9	0.143	0.6	1.4	0.455	0.361	0.3	0.8	0.333	0.3	1.1	1.4	0.4	0.3	0	0.3	0.8	1.9
288	Jake Layman\laymaja01	SF	25	MIN	23	2	22	3.5	7.8	0.453	1	3.1	0.333	2.5	4.7	0.533	0.52	1	1.4	0.75	0.7	1.7	2.5	0.7	0.7	0.4	1	2	9.1
289	T.J. Leaf\leaftj01	PF	22	IND	28	1	7.9	1.3	3.1	0.419	0.2	0.6	0.278	1.1	2.4	0.456	0.448	0.3	0.6	0.438	0.8	1.7	2.5	0.3	0.4	0.1	0.3	0.8	3
290	Jalen Lecque\lecquja01	SG	19	PHO	5	0	6.4	0.8	2	0.4	0	0.8	0	0.8	1.2	0.667	0.4	0.4	0.4	1	0	0.4	0.4	0.4	0	0	0.4	0.6	2
291	Courtney Lee\leeco01	SG	34	DAL	24	9	14.4	1.7	3.4	0.488	0.9	2	0.447	0.8	1.5	0.543	0.616	0.3	0.3	0.857	0.3	1	1.3	0.5	0.8	0.3	0.5	1.4	4.5
292	Damion Lee\leeda03	SG	27	GSW	49	36	29	4.3	10.4	0.417	1.7	4.9	0.356	2.6	5.6	0.471	0.5	2.2	2.6	0.873	0.7	4.2	4.9	2.7	1	0.1	1.4	2.4	12.7
293	Alex Len\lenal01	C	26	TOT	55	12	17.6	3.2	5.8	0.555	0.3	1.1	0.271	2.9	4.7	0.619	0.58	1.2	1.9	0.648	1.8	4	5.8	0.9	0.4	0.9	1	2.3	8
293	Alex Len\lenal01	C	26	ATL	40	9	18.6	3.6	6.5	0.546	0.4	1.4	0.25	3.2	5.1	0.627	0.573	1.3	2	0.63	1.7	4	5.8	1.1	0.5	0.8	1	2.3	8.7
293	Alex Len\lenal01	C	26	SAC	15	3	15	2.3	3.9	0.593	0.1	0.2	0.667	2.2	3.7	0.589	0.61	1.1	1.6	0.708	2.1	4	6.1	0.5	0.2	1	1.1	2.3	5.9
294	Kawhi Leonard\leonaka01	SF	28	LAC	57	57	32.4	9.3	19.9	0.47	2.2	5.7	0.378	7.2	14.2	0.506	0.524	6.2	7.1	0.886	0.9	6.1	7.1	4.9	1.8	0.6	2.6	2	27.1
295	Meyers Leonard\leoname01	C	27	MIA	51	49	20.3	2.3	4.6	0.509	1	2.5	0.414	1.3	2.1	0.623	0.622	0.4	0.5	0.643	0.6	4.5	5.1	1.1	0.3	0.3	0.8	2.1	6.1
296	Caris LeVert\leverca01	SG	25	BRK	45	31	29.6	6.9	16.3	0.425	1.8	4.9	0.364	5.1	11.4	0.451	0.48	3.1	4.4	0.711	1.1	3.1	4.2	4.4	1.2	0.2	2.6	1.8	18.7
297	Damian Lillard\lillada01	PG	29	POR	66	66	37.5	9.5	20.4	0.463	4.1	10.2	0.401	5.4	10.2	0.524	0.563	7	7.8	0.888	0.5	3.8	4.3	8	1.1	0.3	2.9	1.7	30
298	Nassir Little\littlna01	PF	19	POR	48	5	11.9	1.4	3.1	0.43	0.3	1.2	0.237	1.1	1.9	0.554	0.477	0.6	0.9	0.636	0.6	1.6	2.3	0.5	0.3	0.3	0.3	1.5	3.6
299	Kevon Looney\looneke01	C	23	GSW	20	4	13.1	1.5	4	0.367	0.1	0.7	0.071	1.4	3.3	0.431	0.373	0.5	0.6	0.75	1.4	1.9	3.3	1	0.6	0.3	0.6	1.7	3.4
300	Brook Lopez\lopezbr01	C	31	MIL	68	67	26.7	4.3	9.9	0.435	1.5	4.8	0.314	2.8	5.1	0.549	0.511	1.9	2.2	0.836	0.9	3.7	4.6	1.5	0.7	2.4	1	2.4	12
301	Robin Lopez\lopezro01	C	31	MIL	66	5	14.5	2.2	4.5	0.492	0.5	1.6	0.333	1.7	2.9	0.577	0.55	0.4	0.8	0.528	0.8	1.6	2.4	0.7	0.2	0.7	1	1.5	5.4
302	Kevin Love\loveke01	PF	31	CLE	56	56	31.8	5.8	13	0.45	2.6	7	0.374	3.2	6	0.537	0.55	3.3	3.9	0.854	1	8.8	9.8	3.2	0.6	0.3	2.5	1.6	17.6
303	Kyle Lowry\lowryky01	PG	33	TOR	58	58	36.2	5.8	13.8	0.416	2.8	8	0.352	2.9	5.8	0.504	0.518	5.1	5.9	0.857	0.6	4.5	5	7.5	1.4	0.4	3.1	3.3	19.4
304	Timothé Luwawu-Cabarrot\luwawti01	SF	24	BRK	47	2	18.1	2.5	5.7	0.435	1.3	3.4	0.388	1.2	2.3	0.505	0.55	1.5	1.7	0.852	0.6	2.1	2.7	0.6	0.4	0.1	0.8	2.3	7.8
305	Trey Lyles\lylestr01	PF	24	SAS	63	53	20.2	2.4	5.4	0.446	1	2.7	0.387	1.4	2.8	0.503	0.541	0.5	0.7	0.733	1.1	4.6	5.7	1.1	0.4	0.4	0.6	1.6	6.4
306	Daryl Macon\maconda01	PG	24	MIA	4	0	3.5	0.3	0.8	0.333	0.3	0.5	0.5	0	0.3	0	0.5	0	0		0	0	0	0.3	0	0	0.5	0.3	0.8
307	J.P. Macura\macurjp01	SG	24	CLE	1	0	1	0	0		0	0		0	0			0	0		0	0	0	0	0	0	0	0	0
308	Josh Magette\magetjo01	PG	30	ORL	8	0	4.8	0.6	1.9	0.333	0.1	0.5	0.25	0.5	1.4	0.364	0.367	0.1	0.3	0.5	0.1	0.6	0.8	0.6	0.4	0.1	0.6	0.5	1.5
309	Ian Mahinmi\mahinia01	C	33	WAS	38	35	21.3	2.7	5.5	0.495	0.1	0.7	0.192	2.6	4.8	0.538	0.507	1.8	3	0.619	2.1	3.7	5.7	1.3	0.8	1.2	1.2	3	7.4
310	Thon Maker\makerth01	C	22	DET	60	14	12.9	1.6	3.2	0.482	0.4	1.1	0.344	1.2	2.2	0.55	0.539	1.2	1.8	0.664	0.9	1.9	2.8	0.7	0.4	0.7	0.8	1.7	4.7
311	Terance Mann\mannte01	SF	23	LAC	41	6	8.8	0.9	1.9	0.468	0.2	0.5	0.35	0.7	1.4	0.508	0.513	0.4	0.7	0.667	0.2	1.1	1.3	1.3	0.3	0.1	0.4	1.1	2.4
312	Boban Marjanović\marjabo01	C	31	DAL	44	5	9.6	2.8	4.8	0.573	0.1	0.4	0.235	2.7	4.4	0.603	0.583	1	1.3	0.754	1.5	3	4.5	0.5	0.2	0.2	0.7	1.3	6.6
313	Lauri Markkanen\markkla01	PF	22	CHI	50	50	29.8	5	11.8	0.425	2.2	6.3	0.344	2.8	5.5	0.518	0.517	2.5	3.1	0.824	1.2	5.1	6.3	1.5	0.8	0.5	1.6	1.9	14.7
314	Caleb Martin\martica02	SF	24	CHO	18	1	17.6	2.1	4.7	0.44	1.1	2.1	0.541	0.9	2.6	0.362	0.56	0.9	1.2	0.81	0.6	1.6	2.1	1.3	0.7	0.4	0.8	1.8	6.2
315	Cody Martin\martico01	SF	24	CHO	48	3	18.8	1.9	4.3	0.43	0.4	1.6	0.234	1.5	2.7	0.546	0.473	0.9	1.4	0.646	0.8	2.5	3.3	2	0.8	0.2	0.9	1.6	5
316	Jeremiah Martin\martije02	PG	23	BRK	9	0	11	2.7	5.9	0.453	0.6	2	0.278	2.1	3.9	0.543	0.5	1.2	1.6	0.786	0.1	1	1.1	2	0.8	0.2	0.4	0.8	7.1
317	Kelan Martin\martike03	SF	24	MIN	31	4	16	2.3	5.8	0.392	0.8	3.1	0.26	1.5	2.7	0.541	0.461	1	1	0.968	0.4	2.7	3.1	0.7	0.2	0.3	0.6	1.6	6.4
318	Frank Mason III\masonfr01	PG	25	MIL	9	0	13.1	2.6	5.7	0.451	0.7	2.3	0.286	1.9	3.3	0.567	0.51	1.1	1.9	0.588	0.6	1.6	2.1	3.2	0.6	0.1	1.2	1.2	6.9
319	Garrison Mathews\mathega01	SG	23	WAS	18	0	12.6	1.3	3.1	0.429	1.1	2.6	0.413	0.3	0.6	0.5	0.598	1.7	1.9	0.912	0.3	1	1.3	0.6	0.4	0.1	0.4	1.8	5.4
320	Wesley Matthews\matthwe02	SG	33	MIL	67	67	24.4	2.5	6.3	0.396	1.6	4.4	0.364	0.9	1.9	0.472	0.524	0.8	1	0.765	0.3	2.1	2.5	1.4	0.6	0.1	0.6	1.5	7.4
321	Luc Mbah a Moute\mbahalu01	PF	33	HOU	3	0	8.3	0.7	1.7	0.4	0	0.7	0	0.7	1	0.667	0.4	0.3	0.7	0.5	0.3	0.3	0.7	0	0.7	0	0.3	0	1.7
322	Patrick McCaw\mccawpa01	SF	24	TOR	37	12	24.5	1.8	4.4	0.414	0.6	1.9	0.324	1.2	2.5	0.484	0.485	0.4	0.5	0.722	0.5	1.8	2.3	2.1	1.1	0.1	0.8	1.6	4.6
323	CJ McCollum\mccolcj01	SG	28	POR	70	70	36.5	8.7	19.4	0.451	2.8	7.3	0.379	6	12.1	0.494	0.522	2	2.6	0.757	0.7	3.6	4.2	4.4	0.8	0.6	1.8	2.6	22.2
324	T.J. McConnell\mccontj01	PG	27	IND	71	3	18.7	3	5.8	0.516	0.1	0.2	0.294	2.9	5.5	0.525	0.522	0.5	0.6	0.833	0.5	2.1	2.7	5	0.8	0.2	1.4	1	6.5
325	Jalen McDaniels\mcdanja01	SF	22	CHO	16	0	18.3	2.1	4.4	0.471	0.6	1.5	0.375	1.5	2.9	0.522	0.536	0.9	1.1	0.824	0.9	3.1	4.1	0.8	0.5	0.2	0.7	2.3	5.6
326	Doug McDermott\mcderdo01	PF	28	IND	69	0	19.9	3.9	7.9	0.488	1.9	4.3	0.435	2	3.7	0.549	0.605	0.7	0.8	0.828	0.4	2.1	2.5	1.1	0.2	0.1	0.6	1.7	10.3
327	JaVale McGee\mcgeeja01	C	32	LAL	68	68	16.6	2.9	4.5	0.637	0	0.1	0.5	2.8	4.4	0.64	0.642	0.8	1.2	0.646	1.8	3.9	5.7	0.5	0.5	1.4	0.8	2.3	6.6
328	Rodney McGruder\mcgruro01	SG	28	LAC	56	4	15.6	1.3	3.2	0.398	0.4	1.6	0.27	0.9	1.6	0.522	0.464	0.3	0.6	0.559	0.5	2.2	2.7	0.6	0.5	0.1	0.4	1.3	3.3
329	Alfonzo McKinnie\mckinal01	SF	27	CLE	40	1	14.8	1.8	4.3	0.427	0.4	1.6	0.215	1.5	2.7	0.557	0.468	0.6	0.8	0.71	0.9	1.9	2.8	0.4	0.6	0.2	0.7	1.8	4.6
330	Jordan McLaughlin\mclaujo01	PG	23	MIN	30	2	19.7	2.9	5.9	0.489	1	2.5	0.382	1.9	3.4	0.569	0.57	0.9	1.3	0.667	0.2	1.4	1.6	4.2	1.1	0.1	1	1	7.6
331	Ben McLemore\mclembe01	SF	26	HOU	71	23	22.8	3.4	7.7	0.444	2.5	6.4	0.4	0.9	1.3	0.656	0.61	0.7	0.9	0.746	0.3	1.9	2.2	0.8	0.6	0.2	0.7	2.2	10.1
332	Jordan McRae\mcraejo01	SG	28	TOT	37	4	21.2	4	9.9	0.407	1.2	3.4	0.357	2.8	6.5	0.433	0.469	2.2	2.9	0.761	0.5	2.9	3.4	2.5	0.6	0.4	1.2	2	11.5
332	Jordan McRae\mcraejo01	SG	28	WAS	29	4	22.6	4.6	10.9	0.42	1.4	3.7	0.377	3.2	7.3	0.441	0.483	2.2	2.9	0.771	0.6	3	3.6	2.8	0.7	0.5	1.3	2.1	12.8
332	Jordan McRae\mcraejo01	SG	28	DEN	4	0	8	0.5	1.5	0.333	0.5	1	0.5	0	0.5	0	0.5	0.8	1	0.75	0.3	1	1.3	1	0.5	0.3	0	0.5	2.3
332	Jordan McRae\mcraejo01	SG	28	DET	4	0	24.5	3.5	10.8	0.326	0.8	4	0.188	2.8	6.8	0.407	0.36	4	5.5	0.727	0	3.8	3.8	1.8	0	0	1.3	2.5	11.8
333	Nicolò Melli\mellini01	C	29	NOP	60	8	17.4	2.3	5.4	0.421	1.2	3.4	0.335	1.1	2	0.573	0.528	0.9	1.2	0.74	0.6	2.4	3	1.4	0.6	0.4	0.8	2.1	6.6
334	De'Anthony Melton\meltode01	PG	21	MEM	60	8	19.5	2.7	6.7	0.401	0.7	2.3	0.286	2	4.4	0.464	0.451	1.6	2	0.769	0.7	3	3.7	2.9	1.3	0.3	1.4	1.8	7.6
335	Chimezie Metu\metuch01	C	22	SAS	18	0	5.8	1.3	2.3	0.571	0	0.1	0	1.3	2.2	0.6	0.571	0.6	0.7	0.769	0.7	1.2	1.8	0.6	0.2	0.3	0.6	0.4	3.2
336	Khris Middleton\middlkh01	SF	28	MIL	62	59	29.9	7.6	15.3	0.497	2.4	5.7	0.415	5.2	9.6	0.546	0.575	3.4	3.7	0.916	0.7	5.5	6.2	4.3	0.9	0.1	2.2	2.3	20.9
337	Eric Mika\mikaer01	C	25	SAC	1	0	19	2	3	0.667	0	0		2	3	0.667	0.667	2	2	1	2	5	7	0	0	0	0	5	6
338	C.J. Miles\milescj01	SF	32	WAS	10	0	16.1	1.9	5.9	0.322	1.1	3.5	0.314	0.8	2.4	0.333	0.415	1.5	2	0.75	0.4	0.8	1.2	1.2	1	0.4	0.4	1.4	6.4
339	Malcolm Miller\millema01	SF	26	TOR	28	1	5.8	0.4	1	0.414	0.3	0.8	0.364	0.1	0.3	0.571	0.552	0.1	0.3	0.375	0.1	0.5	0.6	0.4	0.2	0.1	0.1	0.6	1.3
340	Patty Mills\millspa02	PG	31	SAS	66	1	22.5	3.9	9.1	0.431	2.3	6.1	0.382	1.6	3	0.533	0.56	1.5	1.7	0.866	0.3	1.3	1.6	1.8	0.8	0.1	0.8	1.6	11.6
341	Paul Millsap\millspa01	PF	34	DEN	51	48	24.3	4.1	8.6	0.482	1.1	2.4	0.435	3.1	6.2	0.5	0.543	2.3	2.8	0.816	1.9	3.8	5.7	1.6	0.9	0.6	1.4	2.9	11.6
342	Shake Milton\miltosh01	SG	23	PHI	40	24	20.1	3.4	6.9	0.484	1.5	3.4	0.43	1.9	3.6	0.535	0.588	1.3	1.6	0.785	0.4	1.8	2.2	2.6	0.5	0.2	1.2	2.3	9.4
343	Donovan Mitchell\mitchdo01	SG	23	UTA	69	69	34.3	8.7	19.4	0.449	2.5	6.9	0.366	6.2	12.6	0.494	0.513	4	4.7	0.863	0.8	3.6	4.4	4.3	1	0.2	2.7	2.5	24
344	Naz Mitrou-Long\mitrona01	SG	26	IND	5	0	9.4	1.2	3.4	0.353	0.4	2.4	0.167	0.8	1	0.8	0.412	0	0		0	1.4	1.4	1.6	0.2	0.2	0.6	0.4	2.8
345	Adam Mokoka\mokokad01	SF	21	CHI	11	0	10.2	1.1	2.5	0.429	0.5	1.4	0.4	0.5	1.2	0.462	0.536	0.2	0.4	0.5	0.6	0.3	0.9	0.4	0.4	0	0.2	1.5	2.9
346	Malik Monk\monkma01	SG	21	CHO	55	1	21.3	3.9	8.9	0.434	1.1	3.7	0.284	2.8	5.2	0.542	0.494	1.5	1.8	0.82	0.5	2.4	2.9	2.1	0.5	0.3	1.4	1.3	10.3
347	Matt Mooney\moonema01	SG	22	CLE	4	0	4.8	0.3	1	0.25	0	0.5	0	0.3	0.5	0.5	0.25	0	0		0	0.8	0.8	0.3	0.5	0.3	0	0.3	0.5
348	E'Twaun Moore\mooreet01	SG	30	NOP	56	6	18.2	3.3	7.8	0.426	1.1	3	0.377	2.2	4.8	0.456	0.498	0.6	0.8	0.689	0.6	1.8	2.3	1.4	0.6	0.2	0.7	1.4	8.3
349	Ja Morant\moranja01	PG	20	MEM	67	67	31	6.7	14	0.477	0.9	2.7	0.335	5.8	11.3	0.511	0.509	3.6	4.6	0.776	0.8	3.1	3.9	7.3	0.9	0.3	3.3	1.6	17.8
350	Juwan Morgan\morgaju01	PF	22	UTA	21	0	6.4	0.7	1.2	0.577	0.1	0.4	0.375	0.6	0.9	0.667	0.635	0.1	0.2	0.75	0.5	0.9	1.4	0.3	0	0.1	0.3	0.9	1.7
351	Marcus Morris\morrima03	SF-PF	30	TOT	62	62	31.2	5.7	13.1	0.438	2.3	5.6	0.408	3.4	7.5	0.461	0.526	2.9	3.5	0.823	1	4.1	5	1.4	0.8	0.5	1.6	2.9	16.7
351	Marcus Morris\morrima03	SF	30	NYK	43	43	32.3	6.5	14.8	0.442	2.7	6.1	0.439	3.8	8.7	0.444	0.533	3.8	4.6	0.823	1.1	4.3	5.4	1.4	0.8	0.4	1.7	3	19.6
351	Marcus Morris\morrima03	PF	30	LAC	19	19	28.9	3.9	9.2	0.425	1.4	4.4	0.31	2.5	4.7	0.533	0.5	0.9	1.2	0.818	0.6	3.5	4.1	1.4	0.7	0.7	1.3	2.7	10.1
352	Markieff Morris\morrima02	PF	30	TOT	58	17	20.5	3.5	7.9	0.443	1.5	3.9	0.386	2	4	0.5	0.539	1.1	1.5	0.776	0.7	3.1	3.8	1.3	0.5	0.3	1.3	2.3	9.7
352	Markieff Morris\morrima02	PF	30	DET	44	16	22.5	4	8.8	0.45	1.7	4.3	0.397	2.3	4.5	0.5	0.546	1.4	1.8	0.772	0.5	3.4	3.9	1.6	0.6	0.3	1.6	2.4	11
352	Markieff Morris\morrima02	PF	30	LAL	14	1	14.2	2	4.9	0.406	0.9	2.8	0.333	1.1	2.1	0.5	0.5	0.4	0.4	0.833	1.1	2.1	3.2	0.6	0.4	0.4	0.4	2.1	5.3
353	Monte Morris\morrimo01	PG	24	DEN	73	12	22.4	3.6	7.8	0.459	0.9	2.4	0.378	2.7	5.4	0.495	0.517	1	1.2	0.843	0.3	1.5	1.9	3.5	0.8	0.2	0.7	1	9
354	Johnathan Motley\motlejo01	PF	24	LAC	13	0	3.2	0.8	1.2	0.733	0.1	0.1	1	0.8	1.1	0.714	0.767	0.4	0.5	0.714	0.2	0.5	0.8	0.6	0.2	0	0.4	0.5	2.2
355	Emmanuel Mudiay\mudiaem01	PG	23	UTA	54	2	15.7	2.8	6.1	0.462	0.6	1.6	0.345	2.2	4.4	0.504	0.508	1.2	1.5	0.759	0.3	2	2.3	2.1	0.4	0.2	1.4	1.3	7.3
356	Mychal Mulder\muldemy01	SF	25	GSW	7	3	29.1	3.7	9.6	0.388	2.3	7.4	0.308	1.4	2.1	0.667	0.507	1.3	1.7	0.75	0.4	2.9	3.3	1.1	0.3	0.1	0.7	2.9	11
357	Dejounte Murray\murrade01	PG	23	SAS	66	58	25.6	4.5	9.7	0.462	0.6	1.7	0.369	3.8	8	0.481	0.494	1.4	1.7	0.798	1	4.8	5.8	4.1	1.7	0.3	1.9	2.2	10.9
358	Jamal Murray\murraja01	PG	22	DEN	59	59	32.3	6.9	15.2	0.456	1.9	5.5	0.346	5	9.7	0.519	0.519	2.8	3.1	0.881	0.8	3.2	4	4.8	1.1	0.3	2.2	1.7	18.5
359	Džanan Musa\musadz01	SF	20	BRK	40	0	12.2	1.6	4.3	0.372	0.5	2	0.244	1.1	2.4	0.479	0.427	1.1	1.5	0.75	0.5	1.6	2.2	1.1	0.4	0	0.9	0.8	4.8
360	Mike Muscala\muscami01	C	28	OKC	47	2	12.2	1.6	4	0.407	1.1	3	0.378	0.5	1	0.5	0.55	0.4	0.5	0.818	0.3	2	2.3	0.9	0.2	0.3	0.4	1.2	4.8
361	Sviatoslav Mykhailiuk\mykhasv01	SF	22	DET	56	27	22.6	3	7.2	0.41	2.1	5.1	0.404	0.9	2.1	0.425	0.552	1	1.3	0.814	0.3	1.6	1.9	1.9	0.7	0.1	1.1	1.6	9
362	Abdel Nader\naderab01	SF	26	OKC	55	6	15.8	2.2	4.8	0.468	0.9	2.3	0.375	1.4	2.5	0.556	0.559	0.9	1.2	0.773	0.3	1.6	1.8	0.7	0.4	0.4	0.8	1.4	6.3
363	Larry Nance Jr.\nancela02	PF	27	CLE	56	10	26.3	4.1	7.7	0.531	1	2.8	0.352	3.1	4.9	0.636	0.596	0.9	1.3	0.676	1.9	5.4	7.3	2.2	1	0.4	1.1	1.6	10.1
364	Shabazz Napier\napiesh01	PG	28	TOT	56	32	24	3.4	8.1	0.412	1.4	4.3	0.317	2	3.9	0.519	0.496	2.3	2.7	0.824	0.5	2.4	2.8	4.7	1.2	0.2	2.3	1.8	10.3
364	Shabazz Napier\napiesh01	PG	28	MIN	36	22	23.8	3.2	7.9	0.403	1.3	4.4	0.296	1.9	3.4	0.54	0.486	2	2.4	0.818	0.5	2.6	3.1	5.2	1.1	0.2	2.1	1.7	9.6
364	Shabazz Napier\napiesh01	PG	28	WAS	20	10	24.4	3.7	8.7	0.428	1.5	4.1	0.358	2.3	4.6	0.489	0.512	2.7	3.3	0.831	0.5	2	2.4	3.8	1.5	0.2	2.6	2	11.6
365	Raul Neto\netora01	PG	27	PHI	54	3	12.4	1.9	4.1	0.455	0.6	1.6	0.386	1.2	2.5	0.5	0.532	0.7	0.9	0.83	0.2	0.9	1.1	1.8	0.4	0.1	0.9	0.9	5.1
366	Malik Newman\newmama01	SG	22	CLE	1	0	4	0	2	0	0	1	0	0	1	0	0	2	2	1	0	0	0	0	0	0	1	0	2
367	Georges Niang\niangge01	PF	26	UTA	66	1	14	2.1	4.9	0.438	1.4	3.4	0.4	0.8	1.5	0.526	0.578	0.3	0.4	0.833	0.2	1.7	1.9	0.7	0.3	0.1	0.5	1.1	5.9
368	Joakim Noah\noahjo01	C	34	LAC	5	0	10	0.8	1.6	0.5	0	0		0.8	1.6	0.5	0.5	1.2	1.6	0.75	1	2.2	3.2	1.4	0.2	0.2	1.2	1.8	2.8
369	Nerlens Noel\noelne01	C	25	OKC	61	7	18.5	3	4.4	0.684	0	0	0.333	3	4.4	0.688	0.686	1.3	1.7	0.755	1.5	3.4	4.9	0.9	1	1.5	1.1	2.7	7.4
370	Zach Norvell\norveza01	SG	22	TOT	5	0	8.2	0.6	2.4	0.25	0.6	1.6	0.375	0	0.8	0	0.375	0.2	0.2	1	0	1.2	1.2	0.6	0.4	0	0.6	0.8	2
370	Zach Norvell\norveza01	SG	22	LAL	2	0	2.5	0	0.5	0	0	0		0	0.5	0	0	0	0		0	0.5	0.5	0	0	0	0	0	0
370	Zach Norvell\norveza01	SG	22	GSW	3	0	12	1	3.7	0.273	1	2.7	0.375	0	1	0	0.409	0.3	0.3	1	0	1.7	1.7	1	0.7	0	1	1.3	3.3
371	Jaylen Nowell\nowelja01	SG	20	MIN	15	0	10.1	1.3	3.5	0.358	0.2	1.7	0.115	1.1	1.8	0.593	0.387	1.1	1.1	0.941	0.2	0.7	0.9	1.3	0.2	0.1	0.2	0.7	3.8
372	Frank Ntilikina\ntilila01	PG	21	NYK	57	26	20.8	2.3	5.8	0.393	0.8	2.4	0.321	1.5	3.4	0.444	0.459	0.9	1	0.864	0.4	1.7	2.1	3	0.9	0.3	1.2	2.5	6.3
373	Kendrick Nunn\nunnke01	PG	24	MIA	67	67	29.3	6	13.6	0.439	2	5.8	0.35	3.9	7.8	0.505	0.514	1.3	1.5	0.85	0.3	2.4	2.7	3.3	0.8	0.2	1.7	2.3	15.3
374	Jusuf Nurkić\nurkiju01	C	25	POR	8	8	31.6	6.8	13.6	0.495	0.3	1.3	0.2	6.5	12.4	0.525	0.505	3.9	4.4	0.886	2.9	7.4	10.3	4	1.4	2	2.4	4.9	17.6
375	David Nwaba\nwabada01	SG	27	BRK	20	0	13.4	1.9	3.6	0.521	0.6	1.4	0.429	1.3	2.2	0.581	0.606	0.9	1.4	0.667	0.4	1.9	2.3	0.4	0.6	0.6	0.4	1.6	5.2
376	Royce O'Neale\onealro01	SF	26	UTA	71	62	28.9	2.2	5.1	0.433	1.3	3.4	0.377	0.9	1.7	0.545	0.559	0.6	0.8	0.764	0.4	5.1	5.5	2.5	0.8	0.5	0.9	2.8	6.3
377	Kyle O'Quinn\oquinky01	C	29	PHI	29	2	10.8	1.4	2.9	0.494	0.2	0.9	0.259	1.2	2	0.603	0.535	0.4	0.7	0.55	1.2	2.8	4	1.8	0.2	0.8	0.7	1.3	3.5
378	Semi Ojeleye\ojelese01	PF	25	BOS	69	6	14.7	1.2	2.8	0.408	0.7	1.8	0.378	0.5	1	0.464	0.531	0.4	0.5	0.875	0.4	1.7	2.1	0.5	0.3	0.1	0.3	1.2	3.4
379	Jahlil Okafor\okafoja01	C	24	NOP	30	9	15.6	3.4	5.4	0.623	0	0.1	0.333	3.3	5.3	0.629	0.627	1.3	2.1	0.645	1.6	2.6	4.2	1.2	0.2	0.7	1.3	2.2	8.1
380	Elie Okobo\okoboel01	PG	22	PHO	55	3	13.1	1.3	3.3	0.398	0.5	1.3	0.352	0.9	2	0.427	0.467	0.9	1.3	0.704	0.3	1.3	1.6	2.1	0.4	0.1	0.7	1	4
381	Josh Okogie\okogijo01	SG	21	MIN	62	28	25	2.7	6.4	0.427	0.7	2.5	0.266	2.1	3.9	0.529	0.479	2.5	3.1	0.796	1.4	2.9	4.3	1.6	1.1	0.4	1.4	2.2	8.6
382	KZ Okpala\okpalkz01	PF	20	MIA	5	0	5.2	0.6	1	0.6	0	0.2	0	0.6	0.8	0.75	0.6	0.2	0.4	0.5	0.2	0.8	1	0.2	0.4	0.2	0.2	0.4	1.4
383	Victor Oladipo\oladivi01	SG	27	IND	19	16	27.8	5.1	12.9	0.394	1.7	5.5	0.317	3.4	7.5	0.451	0.461	2.5	3.1	0.814	0.5	3.5	3.9	2.9	0.9	0.2	2.5	1.9	14.5
384	Kelly Olynyk\olynyke01	C	28	MIA	67	9	19.4	2.7	5.9	0.462	1.4	3.5	0.406	1.3	2.4	0.543	0.582	1.3	1.5	0.86	0.7	3.9	4.6	1.7	0.7	0.3	1.1	2.6	8.2
385	Miye Oni\onimi01	SF	22	UTA	10	1	10.9	1.2	3.2	0.375	0.7	1.9	0.368	0.5	1.3	0.385	0.484	0.4	0.5	0.8	0.5	1.2	1.7	0.4	0.4	0.2	0.4	0.9	3.5
386	Cedi Osman\osmande01	SF	24	CLE	65	65	29.4	4.1	9.4	0.437	1.9	4.9	0.383	2.2	4.4	0.497	0.538	1	1.4	0.67	0.6	3	3.6	2.4	0.8	0.2	1.4	2.5	11
